id_transaccion,folio,codigo,monto,fecha,es_anomalia,es_alerta_operativa,es_senal_contexto,cluster_anomalia,senales_contexto,nivel_riesgo,score_riesgo,reglas_activadas,mensaje_alerta
189,47308,PROPTI,-72.0,2023-01-15,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'ALM'",MEDIO,25,cancelacion_monto_alto: monto cancelado=72.00,"Alerta tx 189 (folio 47308, cód PROPTI, monto -72.00): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=72.00 — | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'ALM'"
782,130652,CANXFA,-4642.12,2025-07-29,True,True,False,FUERA_DE_ESTANCIA | CONTEXTO_RESERVACION,,ALTO,55,"cargo_despues_checkout: fecha_cargo=2025-07-29, check-out=2025-07-26 | noches_inconsistentes: cargo=0, reserva=3.0","Alerta tx 782 (folio 130652, cód CANXFA, monto -4642.12): [FUERA_DE_ESTANCIA | CONTEXTO_RESERVACION] — cargo_despues_checkout: fecha_cargo=2025-07-29, check-out=2025-07-26; noches_inconsistentes: cargo=0, reserva=3.0"
489,19120,RENHAB,4721.33,2022-01-02,True,True,False,MONTO_ATIPICO | CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'AGH' (monto alto)",ALTO,50,"monto_atipico: monto_abs=4721.33, z=3.16 (umbral ±2.0) para código 'RENHAB' | cancelacion_monto_alto: monto cancelado=4721.33","Alerta tx 489 (folio 19120, cód RENHAB, monto 4721.33): [MONTO_ATIPICO | CANCELACION_SOSPECHOSA] — monto_atipico: monto_abs=4721.33, z=3.16 (umbral ±2.0) para código 'RENHAB'; cancelacion_monto_alto: monto cancelado=4721.33 — | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'AGH' (monto alto)"
504,87626,PROPTI,116.16,2024-03-24,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=116.16, z=3.34 (umbral ±2.0) para código 'PROPTI'","Alerta tx 504 (folio 87626, cód PROPTI, monto 116.16): [MONTO_ATIPICO] — monto_atipico: monto_abs=116.16, z=3.34 (umbral ±2.0) para código 'PROPTI'"
241,97844,TRANSF,25000.0,2024-06-28,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=25000.00, z=2.42 (umbral ±2.0) para código 'TRANSF'","Alerta tx 241 (folio 97844, cód TRANSF, monto 25000.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=25000.00, z=2.42 (umbral ±2.0) para código 'TRANSF'"
890,15862,RENHAB,1708.0,2021-11-13,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'AGH'",MEDIO,25,folio_alto_ratio_cancelaciones: 100% de movimientos cancelados,"Alerta tx 890 (folio 15862, cód RENHAB, monto 1708.00): [CANCELACION_SOSPECHOSA] — folio_alto_ratio_cancelaciones: 100% de movimientos cancelados — | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'AGH'"
187,12595,PROPTI,96.0,2021-09-23,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=96.00, z=2.41 (umbral ±2.0) para código 'PROPTI'","Alerta tx 187 (folio 12595, cód PROPTI, monto 96.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=96.00, z=2.41 (umbral ±2.0) para código 'PROPTI'"
255,5281,RENHAB,0.0,2021-05-23,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'","Alerta tx 255 (folio 5281, cód RENHAB, monto 0.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'"
637,96993,RENHAB,0.0,2024-06-22,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'","Alerta tx 637 (folio 96993, cód RENHAB, monto 0.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'"
65,145429,DEPHAB,23117.0,2026-01-16,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=23117.00, z=2.71 (umbral ±2.0) para código 'DEPHAB'","Alerta tx 65 (folio 145429, cód DEPHAB, monto 23117.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=23117.00, z=2.71 (umbral ±2.0) para código 'DEPHAB'"
1261,352,CANCXC,-4479.15,2021-03-12,True,True,False,FUERA_DE_ESTANCIA | CANCELACION_SOSPECHOSA | CONTEXTO_RESERVACION,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'FJL' (monto alto)",CRITICO,80,"cargo_despues_checkout: fecha_cargo=2021-03-12, check-out=2021-03-10 | folio_alto_ratio_cancelaciones: 75% de movimientos cancelados | noches_inconsistentes: cargo=0, reserva=3.0","Alerta tx 1261 (folio 352, cód CANCXC, monto -4479.15): [FUERA_DE_ESTANCIA | CANCELACION_SOSPECHOSA | CONTEXTO_RESERVACION] — cargo_despues_checkout: fecha_cargo=2021-03-12, check-out=2021-03-10; folio_alto_ratio_cancelaciones: 75% de movimientos cancelados; noches_inconsistentes: cargo=0, reserva=3.0 — | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'FJL' (monto alto)"
35,51883,CANXFA,7298.0,2023-03-13,True,True,False,FUERA_DE_ESTANCIA,,MEDIO,35,"cargo_despues_checkout: fecha_cargo=2023-03-13, check-out=2023-03-12","Alerta tx 35 (folio 51883, cód CANXFA, monto 7298.00): [FUERA_DE_ESTANCIA] — cargo_despues_checkout: fecha_cargo=2023-03-13, check-out=2023-03-12"
323,101529,RENHAB,0.0,2024-08-06,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'","Alerta tx 323 (folio 101529, cód RENHAB, monto 0.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'"
50,33594,CANXFA,4274.46,2022-07-07,True,True,False,FUERA_DE_ESTANCIA | CONTEXTO_RESERVACION,,ALTO,55,"cargo_despues_checkout: fecha_cargo=2022-07-07, check-out=2022-07-01 | noches_inconsistentes: cargo=0, reserva=3.0","Alerta tx 50 (folio 33594, cód CANXFA, monto 4274.46): [FUERA_DE_ESTANCIA | CONTEXTO_RESERVACION] — cargo_despues_checkout: fecha_cargo=2022-07-07, check-out=2022-07-01; noches_inconsistentes: cargo=0, reserva=3.0"
