id_transaccion,folio,codigo,monto,fecha,es_anomalia,cluster_anomalia,nivel_riesgo,mensaje_alerta,reglas_activadas,score_riesgo
551,41863,PROPTI,24.0,2022-10-22,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 551 (folio 41863, código PROPTI, monto 24.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
304,145817,PROPTI,29.04,2026-01-24,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 304 (folio 145817, código PROPTI, monto 29.04): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'CQ3', modificado por ''","usuario_mod_distinto: creado por 'CQ3', modificado por ''",15
358,40780,RENHAB,2889.02,2022-10-01,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 358 (folio 40780, código RENHAB, monto 2889.02): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por '' (monto alto)","usuario_mod_distinto: creado por 'EGT', modificado por '' (monto alto)",15
135,79162,PROPTI,52.8,2023-12-21,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 135 (folio 79162, código PROPTI, monto 52.80): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
476,33169,PROPTI,24.0,2022-07-01,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 476 (folio 33169, código PROPTI, monto 24.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'ALM', modificado por ''","usuario_mod_distinto: creado por 'ALM', modificado por ''",15
335,79472,PEREXT,1705.55,2023-12-29,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 335 (folio 79472, código PEREXT, monto 1705.55): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
158,91184,DEPHAB,10704.0,2024-04-26,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 158 (folio 91184, código DEPHAB, monto 10704.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EJS', modificado por '' (monto alto)","usuario_mod_distinto: creado por 'EJS', modificado por '' (monto alto)",15
270,14807,RENHAB,1965.6,2021-10-30,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 270 (folio 14807, código RENHAB, monto 1965.60): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'ALM', modificado por ''","usuario_mod_distinto: creado por 'ALM', modificado por ''",15
249,39618,PROPTI,48.0,2022-09-11,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 249 (folio 39618, código PROPTI, monto 48.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
98,74162,DEPHAB,5535.41,2023-10-16,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 98 (folio 74162, código DEPHAB, monto 5535.41): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'NO0', modificado por '' (monto alto)","usuario_mod_distinto: creado por 'NO0', modificado por '' (monto alto)",15
499,21947,PROPTI,24.0,2022-02-12,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 499 (folio 21947, código PROPTI, monto 24.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'AGH', modificado por ''","usuario_mod_distinto: creado por 'AGH', modificado por ''",15
730,491,RENHAB,1422.0,2021-03-13,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 730 (folio 491, código RENHAB, monto 1422.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'ALM', modificado por 'BEM'","usuario_mod_distinto: creado por 'ALM', modificado por 'BEM'",15
1145,9803,RENHAB,-1654.25,2021-08-01,True,SIGNO_CONTABLE | USUARIO_MODIFICACION,ALTO,"Alerta en transacción 1145 (folio 9803, código RENHAB, monto -1654.25): [SIGNO_CONTABLE | USUARIO_MODIFICACION] — cargo_monto_negativo: monto=-1654.25 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado; usuario_mod_distinto: creado por 'MCC', modificado por 'KJG'","cargo_monto_negativo: monto=-1654.25 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado | usuario_mod_distinto: creado por 'MCC', modificado por 'KJG'",50
926,131782,PROPTI,-58.08,2025-08-01,True,SIGNO_CONTABLE | USUARIO_MODIFICACION,ALTO,"Alerta en transacción 926 (folio 131782, código PROPTI, monto -58.08): [SIGNO_CONTABLE | USUARIO_MODIFICACION] — cargo_monto_negativo: monto=-58.08 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado; usuario_mod_distinto: creado por 'EGT', modificado por 'CEV'","cargo_monto_negativo: monto=-58.08 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado | usuario_mod_distinto: creado por 'EGT', modificado por 'CEV'",50
65,61763,DEPHAB,104.0,2023-06-11,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 65 (folio 61763, código DEPHAB, monto 104.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'MBJ', modificado por ''","usuario_mod_distinto: creado por 'MBJ', modificado por ''",15
994,8534,RENHAB,-2080.28,2021-07-13,True,SIGNO_CONTABLE | USUARIO_MODIFICACION,ALTO,"Alerta en transacción 994 (folio 8534, código RENHAB, monto -2080.28): [SIGNO_CONTABLE | USUARIO_MODIFICACION] — cargo_monto_negativo: monto=-2080.28 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado; usuario_mod_distinto: creado por 'ALM', modificado por 'RFR'","cargo_monto_negativo: monto=-2080.28 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado | usuario_mod_distinto: creado por 'ALM', modificado por 'RFR'",50
130,131209,DEPHAB,5040.0,2025-07-28,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 130 (folio 131209, código DEPHAB, monto 5040.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'RM2', modificado por '' (monto alto)","usuario_mod_distinto: creado por 'RM2', modificado por '' (monto alto)",15
222,34214,TRANSF,10631.25,2022-07-13,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 222 (folio 34214, código TRANSF, monto 10631.25): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'IVL', modificado por '' (monto alto)","usuario_mod_distinto: creado por 'IVL', modificado por '' (monto alto)",15
205,117868,PROPTI,58.08,2025-03-10,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 205 (folio 117868, código PROPTI, monto 58.08): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
100,70416,DEPEFE,0.0,2023-08-22,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 100 (folio 70416, código DEPEFE, monto 0.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EJS', modificado por ''","usuario_mod_distinto: creado por 'EJS', modificado por ''",15
371,111711,PROPTI,58.08,2024-12-26,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 371 (folio 111711, código PROPTI, monto 58.08): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
606,6876,PROPTI,48.0,2021-06-18,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 606 (folio 6876, código PROPTI, monto 48.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'MCC', modificado por ''","usuario_mod_distinto: creado por 'MCC', modificado por ''",15
401,138712,PROPTI,29.04,2025-10-30,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 401 (folio 138712, código PROPTI, monto 29.04): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
372,15267,PROPTI,12.0,2021-11-10,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 372 (folio 15267, código PROPTI, monto 12.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'ALM', modificado por ''","usuario_mod_distinto: creado por 'ALM', modificado por ''",15
58,149045,DEPHAB,2027.21,2026-03-06,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 58 (folio 149045, código DEPHAB, monto 2027.21): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'VLN', modificado por ''","usuario_mod_distinto: creado por 'VLN', modificado por ''",15
481,122869,RENHAB,2932.65,2025-04-30,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 481 (folio 122869, código RENHAB, monto 2932.65): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'DOB', modificado por '' (monto alto)","usuario_mod_distinto: creado por 'DOB', modificado por '' (monto alto)",15
601,5688,RENHAB,-1479.0,2021-05-30,True,SIGNO_CONTABLE | USUARIO_MODIFICACION,ALTO,"Alerta en transacción 601 (folio 5688, código RENHAB, monto -1479.00): [SIGNO_CONTABLE | USUARIO_MODIFICACION] — cargo_monto_negativo: monto=-1479.00 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado; usuario_mod_distinto: creado por 'MCC', modificado por 'JML'","cargo_monto_negativo: monto=-1479.00 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado | usuario_mod_distinto: creado por 'MCC', modificado por 'JML'",50
534,50296,RENHAB,2155.01,2023-02-21,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 534 (folio 50296, código RENHAB, monto 2155.01): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
366,33130,RENHAB,2259.0,2022-07-03,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 366 (folio 33130, código RENHAB, monto 2259.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'ALM', modificado por ''","usuario_mod_distinto: creado por 'ALM', modificado por ''",15
160,40442,RENHAB,2068.81,2022-09-24,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 160 (folio 40442, código RENHAB, monto 2068.81): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
880,2154,PROPTI,-48.0,2021-04-03,True,SIGNO_CONTABLE | USUARIO_MODIFICACION,ALTO,"Alerta en transacción 880 (folio 2154, código PROPTI, monto -48.00): [SIGNO_CONTABLE | USUARIO_MODIFICACION] — cargo_monto_negativo: monto=-48.00 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado; usuario_mod_distinto: creado por 'FJL', modificado por 'RFR'","cargo_monto_negativo: monto=-48.00 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado | usuario_mod_distinto: creado por 'FJL', modificado por 'RFR'",50
622,52473,PROPTI,13.2,2023-03-19,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 622 (folio 52473, código PROPTI, monto 13.20): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
289,120206,RENHAB,2801.13,2025-04-04,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 289 (folio 120206, código RENHAB, monto 2801.13): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por '' (monto alto)","usuario_mod_distinto: creado por 'EGT', modificado por '' (monto alto)",15
391,75882,PROPTI,13.2,2023-11-09,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 391 (folio 75882, código PROPTI, monto 13.20): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
520,6840,MISCEL,142.0,2021-06-19,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 520 (folio 6840, código MISCEL, monto 142.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'MCC', modificado por ''","usuario_mod_distinto: creado por 'MCC', modificado por ''",15
488,16391,PROPTI,24.0,2021-11-25,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 488 (folio 16391, código PROPTI, monto 24.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
